	token	freq_dist	pos
0	the	11	DT
1	ah	7	JJ
2	make	5	NN
3	gonna	4	NN
4	blocks	4	NNS
5	can	4	MD
6	crash	4	VB
7	mommy	4	JJ
8	gate	4	NN
9	we	4	PRP
10	go	4	VBP
11	psh	3	JJ
12	okay	3	RB
13	let's	3	JJ
14	truck	2	NN
15	to	2	TO
16	tower	2	VB
17	ch	2	NN
18	it	2	PRP
19	fall	2	VB
20	down	2	RP
21	are	2	VBP
22	past	2	JJ
23	yeah	2	NN
24	uh	2	NNS
25	say	2	VBP
26	home	2	NN
27	is	1	VBZ
28	pick	1	VBN
29	up	1	RP
30	ye	1	NN
31	fairy	1	NN
32	land	1	NN
33	there	1	RB
34	oo	1	VBZ
35	no	1	DT
36	i'm	1	JJ
37	drive	1	VBP
38	don't	1	NN
39	want	1	VBP
40	take	1	VB
41	this	1	DT
42	block	1	NN
43	teacups	1	VBZ
44	not	1	RB
45	it's	1	JJ
46	going	1	VBG
47	in	1	IN
48	tunnel	1	NN
49	close	1	JJ
50	ast	1	JJ
51	plate	1	NN
52	please	1	NN
53	wanna	1	VB
54	some	1	DT
55	more	1	RBR
56	wan	1	JJ
57	play	1	NN
58	with	1	IN
59	kay	1	JJ
60	teacup	1	NN
61	house	1	NN
62	eei	1	VBZ
63	they're	1	IN
64	onto	1	IN
65	something	1	NN
66	else	1	RB
67	tall	1	JJ
68	noise	1	NN
69	crashing	1	VBG
70	what	1	WP
71	do	1	VBP
72	now	1	RB
73	why	1	WRB
74	hafta	1	NN
75	put	1	VBD
76	toys	1	RP
77	away	1	RB
78	no	9	DT
79	mhm	6	NN
80	going	6	VBG
81	okay	6	JJ
82	daddy	5	NN
83	and	5	CC
84	the	5	DT
85	here	4	RB
86	to	4	TO
87	hi	4	VB
88	yeah	3	VB
89	them	3	PRP
90	um	3	JJ
91	do	3	VBP
92	hm	3	VB
93	that	3	IN
94	it	3	PRP
95	on	2	IN
96	call	2	NN
97	i'm	2	NN
98	at	2	IN
99	we're	2	JJ
100	gonna	2	NN
101	hallil	2	NN
102	daycare	2	NN
103	huh	2	VBZ
104	what	2	WP
105	kay	2	VBD
106	bye	2	NN
107	done	2	VBN
108	ts	2	NN
109	woah	2	NN
110	he	2	PRP
111	go	2	VBP
112	in	2	IN
113	road	2	NN
114	look	2	NN
115	right	1	JJ
116	plate	1	NN
117	baby	1	NN
118	cold	1	VBD
119	play	1	NN
120	with	1	IN
121	they	1	PRP
122	an	1	DT
123	fine	1	JJ
124	where	1	WRB
125	you're	1	NN
126	work	1	NN
127	little	1	JJ
128	hal	1	JJ
129	byebye	1	NN
130	oh	1	IN
131	you	1	PRP
132	doing	1	VBG
133	dri	1	JJ
134	be	1	VB
135	now	1	RB
136	sugar	1	VB
137	me	1	PRP
138	have	1	VB
139	tea	1	VBN
140	all	1	DT
141	gone	1	VBN
142	won't	1	NN
143	coming	1	VBG
144	bit	1	RB
145	come	1	JJ
146	yep	1	VBP
147	down	1	RP
148	ah	1	RB
149	car	1	NN
150	there	1	RB
151	one	1	CD
152	more	1	JJR
153	time	1	NN
